,marital_status,application_mode,course,time_attendance,previous_qualification,mother_qualification,father_qualification,mother_occupation,father_occupation,displaced,debtor,tuition_fees_up_to_date,gender,scholarship_holder,Application_order,Previous_qualification_grade,Admission_grade,Age_at_enrollment,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,GDP,graduate
30,divorced,Over 23 years old,Management (evening attendance),evening,Secondary education,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Unskilled Workers,Intermediate Level Technicians and Professions,yes,no,yes,female,no,1.0,120.0,113.9,39.0,0.0,5.0,8.0,5.0,11.0,0.0,0.32,1
31,single,Technological specialization diploma holders,Equinculture,daytime,Technological specialization course,Higher Education - Master,Higher Education - Master,Intermediate Level Technicians and Professions,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",no,yes,no,female,no,1.0,120.0,120.0,20.0,2.0,6.0,13.0,3.0,11.666666666666666,0.0,1.79,0
32,single,1st phase - general contingent,Journalism and Communication,daytime,Secondary education,Higher Education - Degree,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,no,yes,yes,female,no,5.0,126.0,121.1,18.0,0.0,6.0,6.0,4.0,12.75,0.0,-1.7,0
33,single,1st phase - general contingent,Management,daytime,Secondary education,Higher Education - Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Specialists in Intellectual and Scientific Activities,"Skilled Workers in Industry, Construction and Craftsmen",yes,no,yes,female,no,2.0,133.0,120.4,22.0,0.0,5.0,5.0,5.0,14.8,0.0,3.51,1
34,single,1st phase - general contingent,Nursing,daytime,Secondary education,Secondary Education - 12th Year of Schooling or Equivalent,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,yes,no,yes,female,no,6.0,103.0,100.6,22.0,0.0,7.0,9.0,5.0,13.928,0.0,2.02,1
35,single,2nd phase - general contingent,Journalism and Communication,daytime,Secondary education,Secondary Education - 12th Year of Schooling or Equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",no,no,no,female,no,1.0,120.0,121.4,20.0,0.0,6.0,7.0,4.0,13.0,0.0,1.79,0
36,single,Over 23 years old,Management (evening attendance),evening,Secondary education,Basic education 1st cycle (4th/5th year) or equivalent,Basic education 1st cycle (4th/5th year) or equiv,Unskilled Workers,Unskilled Workers,no,no,yes,female,no,1.0,133.1,109.7,29.0,0.0,5.0,0.0,0.0,0.0,0.0,-0.92,0
37,single,2nd phase - general contingent,Social Service,daytime,Secondary education,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Unskilled Workers,Unskilled Workers,yes,no,yes,female,no,2.0,130.0,127.6,18.0,0.0,6.0,6.0,6.0,11.666666666666666,0.0,2.02,1
38,single,2nd phase - general contingent,Nursing,daytime,Secondary education,Basic education 1st cycle (4th/5th year) or equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",yes,no,yes,female,yes,6.0,132.0,132.4,22.0,0.0,7.0,8.0,6.0,13.516666666666666,0.0,2.02,1
39,single,Technological specialization diploma holders,Social Service (evening attendance),evening,Technological specialization course,Secondary Education - 12th Year of Schooling or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Unskilled Workers,Unskilled Workers,no,no,yes,female,yes,1.0,130.0,133.4,21.0,3.0,6.0,6.0,6.0,11.5,0.0,1.79,1
40,single,1st phase - general contingent,Social Service,daytime,Secondary education,Basic education 1st cycle (4th/5th year) or equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv,Unskilled Workers,Unskilled Workers,no,no,yes,female,yes,1.0,139.0,126.1,19.0,0.0,6.0,7.0,5.0,12.333333333333334,0.0,-1.7,1
41,single,Over 23 years old,Tourism,daytime,Secondary education,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",no,no,yes,female,yes,1.0,130.0,113.5,24.0,0.0,6.0,6.0,6.0,13.666666666666666,0.0,1.79,1
42,single,1st phase - general contingent,Equinculture,daytime,Secondary education,Basic education 1st cycle (4th/5th year) or equivalent,Basic education 1st cycle (4th/5th year) or equiv,Other Situation,Other Situation,no,no,yes,female,no,3.0,167.0,159.3,19.0,0.0,5.0,7.0,5.0,14.714285714285714,0.0,0.32,1
43,single,Over 23 years old,Management (evening attendance),evening,Secondary education,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv,Unskilled Workers,Unskilled Workers,no,no,yes,female,no,1.0,130.0,120.0,27.0,0.0,5.0,12.0,5.0,10.6,0.0,-3.12,0
44,single,1st phase - general contingent,Nursing,daytime,Secondary education,Secondary Education - 12th Year of Schooling or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",yes,no,yes,female,no,1.0,130.0,129.1,18.0,0.0,7.0,9.0,7.0,13.044444444444444,0.0,-4.06,1
45,married,Holders of other higher courses,Tourism,daytime,Higher education - degree,Secondary Education - 12th Year of Schooling or Equivalent,Higher Education - Degree,Administrative staff,Intermediate Level Technicians and Professions,no,no,yes,female,no,1.0,130.0,130.0,39.0,0.0,6.0,10.0,0.0,0.0,0.0,1.79,0
46,single,Over 23 years old,Equinculture,daytime,Higher education - degree (1st cycle),Higher Education - Degree,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,yes,no,yes,female,no,1.0,129.0,155.3,27.0,0.0,6.0,9.0,5.0,13.0,0.0,1.79,0
47,single,2nd phase - general contingent,Nursing,daytime,Secondary education,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv,"Skilled Workers in Industry, Construction and Craftsmen",Armed Forces Professions,yes,no,yes,female,no,1.0,141.0,139.8,18.0,0.0,8.0,8.0,8.0,14.935,0.0,-3.12,1
48,single,1st phase - general contingent,Nursing,daytime,Secondary education,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Unskilled Workers,Unskilled Workers,no,no,yes,female,no,2.0,125.0,114.9,18.0,0.0,7.0,8.0,6.0,13.133333333333333,0.0,-0.92,1
49,single,Technological specialization diploma holders,Social Service,daytime,Technological specialization course,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,Unskilled Workers,Unskilled Workers,no,no,yes,female,yes,1.0,130.0,131.9,21.0,3.0,6.0,7.0,6.0,12.0,0.0,0.79,1
50,divorced,Transfer,Nursing,daytime,Basic education 3rd cycle (9th/10th/11th year) or equivalent,Secondary Education - 12th Year of Schooling or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",yes,no,yes,male,no,1.0,133.1,126.0,29.0,2.0,7.0,10.0,5.0,11.9,0.0,0.79,0
51,single,1st phase - general contingent,Animation and Multimedia Design,daytime,Secondary education,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,"Personal Services, Security and Safety Workers and Sellers",Intermediate Level Technicians and Professions,yes,no,yes,male,yes,3.0,139.0,128.2,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.74,1
52,single,Technological specialization diploma holders,Agronomy,daytime,Technological specialization course,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Basic education 1st cycle (4th/5th year) or equiv,Unskilled Workers,Unskilled Workers,yes,no,yes,male,no,1.0,130.0,130.0,23.0,0.0,6.0,8.0,6.0,12.571428571428571,0.0,3.51,1
53,single,1st phase - general contingent,Management,daytime,Secondary education,Secondary Education - 12th Year of Schooling or Equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",no,yes,yes,male,no,3.0,125.0,120.1,19.0,0.0,5.0,8.0,5.0,11.2,0.0,-0.92,0
54,single,2nd phase - general contingent,Nursing,daytime,Secondary education,Basic education 1st cycle (4th/5th year) or equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Installation and Machine Operators and Assembly Workers,Administrative staff,no,no,yes,male,no,1.0,150.0,130.8,24.0,0.0,7.0,8.0,7.0,11.975,0.0,0.79,1
55,single,1st phase - general contingent,Animation and Multimedia Design,daytime,Secondary education,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,"Personal Services, Security and Safety Workers and Sellers",Armed Forces Professions,yes,no,yes,male,no,1.0,141.0,135.8,19.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.06,0
56,single,2nd phase - general contingent,Tourism,daytime,Secondary education,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,Basic education 1st cycle (4th/5th year) or equiv,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",yes,no,yes,male,no,4.0,118.0,111.7,18.0,0.0,6.0,12.0,3.0,11.666666666666666,0.0,1.79,0
57,single,1st phase - general contingent,Journalism and Communication,daytime,Secondary education,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv,Unskilled Workers,Unskilled Workers,yes,no,yes,male,no,2.0,142.0,132.9,18.0,0.0,6.0,8.0,6.0,12.333333333333334,0.0,1.74,1
58,single,2nd phase - general contingent,Management,daytime,Secondary education,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",yes,yes,yes,male,no,3.0,120.0,115.5,18.0,0.0,5.0,8.0,3.0,10.333333333333334,0.0,1.74,0
59,single,3rd phase - general contingent,Tourism,daytime,Secondary education,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Basic education 1st cycle (4th/5th year) or equiv,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",yes,no,yes,male,yes,4.0,106.0,106.0,21.0,0.0,6.0,8.0,4.0,10.5,0.0,-3.12,0
60,single,2nd phase - general contingent,Journalism and Communication,daytime,Secondary education,Secondary Education - 12th Year of Schooling or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Unskilled Workers,Installation and Machine Operators and Assembly Workers,yes,yes,yes,male,yes,4.0,121.0,120.3,19.0,0.0,6.0,6.0,6.0,13.666666666666666,0.0,3.51,1
61,single,2nd phase - general contingent,Nursing,daytime,Secondary education,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,Basic education 1st cycle (4th/5th year) or equiv,Unskilled Workers,Unskilled Workers,no,no,yes,male,yes,4.0,150.0,130.8,22.0,0.0,7.0,7.0,7.0,14.842857142857142,0.0,-0.92,1
62,married,Over 23 years old,Social Service (evening attendance),evening,Secondary education,Basic education 1st cycle (4th/5th year) or equivalent,Basic education 1st cycle (4th/5th year) or equiv,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",no,no,yes,male,no,1.0,120.0,117.0,33.0,0.0,6.0,8.0,6.0,12.0,0.0,1.74,1
63,single,1st phase - general contingent,Basic Education,daytime,Secondary education,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Unskilled Workers,Unskilled Workers,yes,no,yes,male,no,6.0,114.0,110.2,20.0,0.0,6.0,8.0,5.0,12.2,0.0,1.74,0
64,single,Over 23 years old,Management (evening attendance),evening,Higher education - bachelor,Higher Education - Degree,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,yes,no,yes,male,no,1.0,140.0,155.7,35.0,0.0,1.0,1.0,0.0,0.0,1.0,1.74,0
65,single,Over 23 years old,Agronomy,daytime,Higher education - master,Higher Education - Degree,Higher Education - Degree,Administrative staff,Specialists in Intellectual and Scientific Activities,no,yes,yes,male,no,1.0,160.0,180.4,24.0,6.0,12.0,17.0,6.0,12.166666666666666,0.0,1.79,0
66,married,Over 23 years old,Social Service (evening attendance),evening,Secondary education,Basic education 1st cycle (4th/5th year) or equivalent,Basic education 1st cycle (4th/5th year) or equiv,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",yes,no,yes,female,no,1.0,130.0,110.0,33.0,0.0,6.0,7.0,6.0,11.0,0.0,-3.12,1
67,single,Transfer,Nursing,daytime,Secondary education,Basic education 1st cycle (4th/5th year) or equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",yes,no,yes,female,yes,1.0,160.0,161.0,22.0,0.0,8.0,8.0,7.0,13.08,0.0,1.74,1
68,single,Over 23 years old,Advertising and Marketing Management,daytime,Secondary education,Secondary Education - 12th Year of Schooling or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",no,no,yes,female,yes,1.0,120.0,100.0,25.0,0.0,5.0,7.0,4.0,10.5,0.0,-3.12,1
69,single,2nd phase - general contingent,Communication Design,daytime,Secondary education,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv,Administrative staff,Student,yes,no,yes,male,no,1.0,124.0,117.6,20.0,0.0,6.0,9.0,6.0,10.666666666666666,1.0,0.32,1
70,single,Over 23 years old,Nursing,daytime,Secondary education,Secondary Education - 12th Year of Schooling or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,Administrative staff,Armed Forces Professions,no,no,yes,male,no,1.0,133.1,100.8,24.0,0.0,7.0,18.0,0.0,0.0,0.0,0.79,0
71,single,2nd phase - general contingent,Journalism and Communication,daytime,Secondary education,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,Unskilled Workers,Unskilled Workers,yes,no,no,female,no,2.0,133.1,105.0,21.0,0.0,6.0,6.0,6.0,14.0,0.0,3.51,1
72,single,International student (bachelor),Equinculture,daytime,Secondary education,Secondary Education - 12th Year of Schooling or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,Administrative staff,Administrative staff,no,no,yes,female,no,1.0,133.1,100.0,26.0,0.0,6.0,7.0,2.0,12.0,1.0,3.51,0
73,married,Over 23 years old,Basic Education,daytime,11th year of schooling - not completed,Basic education 1st cycle (4th/5th year) or equivalent,Unknown ,Student,Student,no,no,yes,female,no,1.0,133.1,115.5,39.0,0.0,6.0,12.0,3.0,12.666666666666666,0.0,0.32,0
74,married,Over 23 years old,Social Service (evening attendance),evening,Secondary education,Basic education 1st cycle (4th/5th year) or equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Unskilled Workers,Unskilled Workers,no,no,yes,female,no,1.0,133.1,114.0,44.0,2.0,8.0,11.0,8.0,11.875,0.0,-1.7,1
75,single,1st phase - general contingent,Journalism and Communication,daytime,Secondary education,Basic education 1st cycle (4th/5th year) or equivalent,Secondary Education - 12th Year of Schooling or Equivalent,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",yes,no,yes,female,no,5.0,135.0,124.9,18.0,0.0,6.0,6.0,6.0,13.666666666666666,0.0,3.51,1
76,single,1st phase - general contingent,Nursing,daytime,Secondary education,Basic education 1st cycle (4th/5th year) or equivalent,Basic education 1st cycle (4th/5th year) or equiv,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",yes,no,yes,female,yes,5.0,132.0,120.3,18.0,0.0,7.0,7.0,7.0,13.75,0.0,1.79,1
77,single,1st phase - general contingent,Nursing,daytime,Secondary education,Higher Education - Degree,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,yes,yes,no,female,no,4.0,115.0,111.5,19.0,0.0,7.0,10.0,4.0,11.96,0.0,0.79,0
